necta,subdivision_name,fips_state,fips_county,fips_subdivision
Micropolitan NECTA,Warner town,33,013,78580
Micropolitan NECTA,Webster town,33,013,80020
Metropolitan NECTA,Bethel town,09,001,04720
Metropolitan NECTA,Brookfield town,09,001,08980
Metropolitan NECTA,Danbury city and town,09,001,18500
Metropolitan NECTA,New Fairfield town,09,001,50860
Metropolitan NECTA,Newtown town,09,001,52980
Metropolitan NECTA,Sherman town,09,001,68310
Metropolitan NECTA,Bridgewater town,09,005,08210
Metropolitan NECTA,New Milford town,09,005,52630
Metropolitan NECTA,Roxbury town,09,005,65930
Metropolitan NECTA,Berwick town,23,031,04720
Metropolitan NECTA,Lebanon town,23,031,38425
Metropolitan NECTA,South Berwick town,23,031,70030
Metropolitan NECTA,Dover city,33,017,18820
Metropolitan NECTA,Durham town,33,017,19700
Metropolitan NECTA,Farmington town,33,017,26020
Metropolitan NECTA,Lee town,33,017,41460
Metropolitan NECTA,Madbury town,33,017,44820
Metropolitan NECTA,Middleton town,33,017,47700
Metropolitan NECTA,Milton town,33,017,48660
Metropolitan NECTA,New Durham town,33,017,51220
Metropolitan NECTA,Rochester city,33,017,65140
Metropolitan NECTA,Rollinsford town,33,017,65540
Metropolitan NECTA,Somersworth city,33,017,69940
Metropolitan NECTA,Strafford town,33,017,73860
Micropolitan NECTA,Bernardston town,25,011,05560
Micropolitan NECTA,Colrain town,25,011,14885
Micropolitan NECTA,Erving town,25,011,21780
Micropolitan NECTA,Gill town,25,011,25730
Micropolitan NECTA,Greenfield Town city,25,011,27100
Micropolitan NECTA,Heath town,25,011,29650
Micropolitan NECTA,Leyden town,25,011,35285
Micropolitan NECTA,Montague town,25,011,42285
Micropolitan NECTA,Northfield town,25,011,47835
Metropolitan NECTA,Avon town,09,003,02060
Metropolitan NECTA,Berlin town,09,003,04300
Metropolitan NECTA,Bloomfield town,09,003,05910
Metropolitan NECTA,Bristol city and town,09,003,08490
Metropolitan NECTA,Burlington town,09,003,10100
Metropolitan NECTA,Canton town,09,003,12270
Metropolitan NECTA,East Granby town,09,003,22070
Metropolitan NECTA,East Hartford town,09,003,22630
Metropolitan NECTA,Farmington town,09,003,27600
Metropolitan NECTA,Glastonbury town,09,003,31240
